欠压160V,欠压180V,欠压200V,正常220V,老化10Ω,老化50Ω,线圈卡涩,过压240V
4.56667 ,5.45000 ,6.18000 ,6.74667 ,6.24000 ,5.31000 ,6.84000 ,7.18667 
4.61667 ,5.34000 ,6.24667 ,6.77667 ,6.29000 ,5.31000 ,6.83333 ,7.24333 
4.62333 ,5.52667 ,6.29333 ,6.82333 ,6.29667 ,5.31000 ,6.87000 ,7.21667 
4.66000 ,5.51667 ,6.28667 ,6.82333 ,6.33000 ,5.30333 ,6.86000 ,7.18667 
4.60000 ,5.51000 ,6.24667 ,6.83667 ,6.36333 ,5.26667 ,6.90667 ,7.07667 
4.61667 ,5.49333 ,6.22667 ,6.78667 ,6.33000 ,5.29333 ,6.94333 ,7.11333 
4.60000 ,5.49333 ,6.21000 ,6.74667 ,6.28333 ,5.33333 ,6.92667 ,7.09667 
4.56667 ,5.43667 ,6.20333 ,6.77000 ,6.25333 ,5.40333 ,6.89000 ,7.09667 
4.57333 ,5.45000 ,6.21333 ,6.81333 ,6.25333 ,5.36000 ,6.80333 ,7.12667 
4.58000 ,5.43667 ,6.22667 ,6.85000 ,6.32667 ,5.31667 ,6.93667 ,7.13333 
4.58667 ,5.44333 ,6.23333 ,6.83667 ,6.34333 ,5.27333 ,6.99333 ,7.13333 
4.59333 ,5.49333 ,6.25667 ,6.82333 ,6.35000 ,5.27333 ,6.98000 ,7.17667 
4.59333 ,5.49333 ,6.28667 ,6.77667 ,6.32667 ,5.26333 ,6.95000 ,7.12667 
4.61000 ,5.48667 ,6.27667 ,6.75000 ,6.26000 ,5.27333 ,6.93333 ,7.08333 
4.61667 ,5.48667 ,6.24000 ,6.72000 ,6.26000 ,5.29333 ,6.89667 ,7.04667 
4.56667 ,5.44333 ,6.18333 ,6.75000 ,6.24000 ,5.31000 ,6.89000 ,7.10667 
4.52667 ,5.43000 ,6.23333 ,6.72000 ,6.21000 ,5.36000 ,6.87000 ,7.13333 
4.52667 ,5.45667 ,6.27667 ,6.76333 ,6.27667 ,5.32333 ,6.87000 ,7.06667 
4.60000 ,5.51667 ,6.30667 ,6.75000 ,6.26000 ,5.34000 ,6.93333 ,7.09667 
4.62333 ,5.50333 ,6.28333 ,6.78667 ,6.32000 ,5.31667 ,6.93667 ,7.09000 
4.57333 ,5.49333 ,6.23333 ,6.78667 ,6.29667 ,5.20000 ,6.97333 ,7.04667 
4.58667 ,5.49333 ,6.21333 ,6.75000 ,6.30000 ,5.32333 ,6.93667 ,7.03667 
4.54333 ,5.44333 ,6.20333 ,6.68000 ,6.25333 ,5.35333 ,6.93667 ,6.99333 
4.53000 ,5.44333 ,6.16667 ,6.72000 ,6.18000 ,5.36667 ,6.89667 ,6.98667 
4.52000 ,5.43000 ,6.21000 ,6.77667 ,6.26333 ,5.30000 ,6.92000 ,7.03000 
4.54333 ,5.43000 ,6.21333 ,6.82000 ,6.32000 ,5.30000 ,7.00000 ,7.03000 
4.55000 ,5.42000 ,6.23333 ,6.74667 ,6.30667 ,5.28000 ,7.01000 ,7.03000 
4.58000 ,5.46000 ,6.24000 ,6.72667 ,6.28333 ,5.25667 ,6.96333 ,7.04000 
4.56333 ,5.48000 ,6.27667 ,6.68333 ,6.15000 ,5.25667 ,6.97000 ,7.03000 
4.56667 ,5.49333 ,6.24667 ,6.65333 ,6.22667 ,5.25667 ,6.91333 ,6.97333 
4.50667 ,5.48000 ,6.18000 ,6.64333 ,6.15000 ,5.27333 ,6.90667 ,6.90000 
4.49667 ,5.44333 ,6.17333 ,6.64667 ,6.19333 ,5.29333 ,6.89667 ,6.99333 
4.53000 ,5.37667 ,6.26333 ,6.66000 ,6.18667 ,5.34000 ,6.90667 ,7.05333 
4.55000 ,5.46667 ,6.28667 ,6.69000 ,6.21000 ,5.33000 ,6.92000 ,7.00333 
4.54333 ,5.51000 ,6.27000 ,6.67333 ,6.21000 ,5.31667 ,6.94333 ,6.97333 
4.52667 ,5.49333 ,6.16000 ,6.69000 ,6.24667 ,5.25000 ,6.97000 ,6.93333 
4.52667 ,5.45667 ,6.19000 ,6.68333 ,6.22333 ,5.28000 ,6.96333 ,6.89000 
4.51333 ,5.42333 ,6.18333 ,6.62333 ,6.18667 ,5.33000 ,6.95000 ,6.89000 
4.49667 ,5.43667 ,6.15333 ,6.60000 ,6.03333 ,5.36667 ,6.92000 ,6.84667 
4.50000 ,5.39333 ,6.18000 ,6.64333 ,6.16667 ,5.33333 ,6.84667 ,6.84667 
4.49000 ,5.40000 ,6.18000 ,6.69000 ,6.24000 ,5.30333 ,6.94333 ,6.91333 
4.49000 ,5.40667 ,6.20333 ,6.68333 ,6.26333 ,5.28000 ,6.98000 ,6.92667 
4.53667 ,5.42000 ,6.21333 ,6.62333 ,6.22667 ,5.25667 ,7.00333 ,6.89000 
4.51333 ,5.44333 ,6.22667 ,6.60667 ,6.24000 ,5.24333 ,6.96333 ,6.84000 
4.50667 ,5.46667 ,6.19667 ,6.57667 ,6.10000 ,5.24333 ,6.91333 ,6.83000 
4.52667 ,5.44333 ,6.16667 ,6.54667 ,6.16000 ,5.27333 ,6.89667 ,6.76667 
4.46333 ,5.37667 ,6.12333 ,6.54000 ,6.09000 ,5.31000 ,6.91333 ,6.81000 
4.44667 ,5.37667 ,6.15333 ,6.55000 ,6.12000 ,5.28667 ,6.87000 ,6.86667 
4.52000 ,5.40000 ,6.17333 ,6.56333 ,6.13667 ,5.30000 ,6.88333 ,6.88333 
4.50000 ,5.47333 ,6.24000 ,6.58000 ,6.15000 ,5.33000 ,6.91333 ,6.83000 
4.53000 ,5.44333 ,6.21000 ,6.58667 ,6.17333 ,5.26333 ,6.94333 ,6.80333 
4.49000 ,5.45000 ,6.17333 ,6.59333 ,6.12333 ,5.18333 ,6.98667 ,6.70667 
4.50667 ,5.43667 ,6.14667 ,6.51000 ,6.16667 ,5.26333 ,6.94333 ,6.72667 
4.45333 ,5.38333 ,6.15333 ,6.46667 ,6.12000 ,5.32333 ,6.89667 ,6.72667 
4.44667 ,5.39000 ,6.08667 ,6.50333 ,6.05667 ,5.35333 ,6.87667 ,6.70667 
4.46000 ,5.35667 ,6.12333 ,6.57000 ,6.15000 ,5.30333 ,6.93333 ,6.72000 
4.45333 ,5.39333 ,6.11667 ,6.57667 ,6.18000 ,5.26667 ,6.99333 ,6.67667 
4.45333 ,5.40667 ,6.13667 ,6.55000 ,6.16000 ,5.25000 ,7.04000 ,6.72000 
4.48333 ,5.41333 ,6.15333 ,6.51000 ,6.10000 ,5.23000 ,6.95667 ,6.73000 
4.50000 ,5.40667 ,6.16667 ,6.49000 ,6.10667 ,5.24333 ,6.96333 ,6.69667 
4.49000 ,5.43000 ,6.14667 ,6.43000 ,6.02667 ,5.20667 ,6.89000 ,6.64000 
4.44000 ,5.43000 ,6.07667 ,6.41667 ,6.04667 ,5.28667 ,6.90000 ,6.62667 
4.42333 ,5.37000 ,6.06333 ,6.43667 ,6.03333 ,5.27333 ,6.82333 ,6.68333 
4.46333 ,5.26000 ,6.14333 ,6.42333 ,6.04000 ,5.30000 ,6.86667 ,6.71333 
4.50000 ,5.42000 ,6.19000 ,6.46000 ,6.07000 ,5.30333 ,6.90000 ,6.67000 
4.51333 ,5.44333 ,6.20333 ,6.46000 ,6.05667 ,5.26333 ,6.90000 ,6.64000 
4.47667 ,5.43000 ,6.11000 ,6.44333 ,6.09000 ,5.20000 ,6.93667 ,6.60333 
4.45333 ,5.42000 ,6.07667 ,6.49000 ,6.06333 ,5.25667 ,6.96333 ,6.53667 
4.43333 ,5.39000 ,6.02667 ,6.38000 ,6.05333 ,5.31000 ,6.94333 ,6.55667 
4.40333 ,5.35667 ,6.06333 ,6.34000 ,5.94333 ,5.35333 ,6.86667 ,6.51333 
4.42333 ,5.36333 ,6.05000 ,6.41667 ,5.96667 ,5.28000 ,6.81667 ,6.52000 
4.44667 ,5.32000 ,6.05000 ,6.46667 ,6.07000 ,5.28000 ,6.93333 ,6.55667 
4.43333 ,5.34000 ,6.08667 ,6.46667 ,6.09000 ,5.24333 ,6.96333 ,6.55000 
4.45333 ,5.38333 ,6.10667 ,6.32667 ,6.09000 ,5.23000 ,6.99333 ,6.57333 
4.44667 ,5.39333 ,6.07667 ,6.35667 ,5.97333 ,5.21333 ,6.92667 ,6.55667 
4.47000 ,5.40667 ,6.11000 ,6.33333 ,5.99667 ,5.25000 ,6.93333 ,6.47667 
4.46333 ,5.36333 ,6.05000 ,6.29667 ,5.95000 ,5.23000 ,6.84667 ,6.44667 
4.39333 ,5.34000 ,6.00333 ,6.30667 ,5.96000 ,5.27333 ,6.87667 ,6.47667 
4.39333 ,5.32667 ,6.04333 ,6.30333 ,5.93667 ,5.28000 ,6.83333 ,6.51333 
4.44000 ,5.32667 ,6.07667 ,6.34000 ,5.96000 ,5.28667 ,6.86000 ,6.54333 
4.47667 ,5.40667 ,6.11667 ,6.33333 ,5.98000 ,5.29333 ,6.86000 ,6.45667 
4.49667 ,5.39000 ,6.08000 ,6.32667 ,5.99667 ,5.25667 ,6.89667 ,6.46333 
4.44667 ,5.40667 ,6.04333 ,6.32000 ,5.99000 ,5.17667 ,6.92667 ,6.38667 
4.44667 ,5.37667 ,5.99667 ,6.32000 ,5.98000 ,5.26333 ,6.92000 ,6.37333 
4.41000 ,5.33333 ,6.00667 ,6.23000 ,5.94333 ,5.31667 ,6.87667 ,6.37333 
4.41667 ,5.33333 ,5.99000 ,6.25333 ,5.90667 ,5.34667 ,6.87667 ,6.35333 
4.40333 ,5.34667 ,5.99667 ,6.27667 ,5.98667 ,5.28667 ,6.88333 ,6.38667 
4.42333 ,5.32000 ,5.96000 ,6.35000 ,5.90667 ,5.26333 ,6.93667 ,6.39000 
4.44000 ,5.34000 ,6.00667 ,6.29000 ,5.98000 ,5.19667 ,6.98000 ,6.38667 
4.46000 ,5.35667 ,6.04000 ,6.28333 ,6.01000 ,5.20000 ,6.94333 ,6.39000 
4.47000 ,5.36333 ,6.02000 ,6.21000 ,5.90667 ,5.24333 ,6.92667 ,6.36000 
4.49000 ,5.39000 ,6.02000 ,6.21667 ,5.92333 ,5.22000 ,6.88333 ,6.27000 
4.44667 ,5.37000 ,5.96667 ,6.17333 ,5.82667 ,5.20667 ,6.87667 ,6.29333 
4.42333 ,5.33333 ,5.94000 ,6.18667 ,5.85000 ,5.21333 ,6.79333 ,6.36000 
4.44667 ,5.22333 ,6.04000 ,6.13333 ,5.88667 ,5.30333 ,6.84000 ,6.39000 
4.48333 ,5.35667 ,6.00333 ,6.22333 ,5.88333 ,5.30000 ,6.86000 ,6.33667 
4.49000 ,5.40667 ,6.04333 ,6.21000 ,5.91333 ,5.26333 ,6.92667 ,6.27000 
4.44000 ,5.39000 ,6.00333 ,6.21000 ,5.90667 ,5.22000 ,6.93333 ,6.27667 
4.44000 ,5.35667 ,5.97333 ,6.22333 ,5.91667 ,5.24333 ,6.91333 ,6.23333 
4.41667 ,5.33333 ,5.93667 ,6.17333 ,5.87667 ,5.30000 ,6.93333 ,6.21000 
4.43333 ,5.29000 ,5.90667 ,6.09667 ,5.81333 ,5.34000 ,6.84667 ,6.15333 
4.43333 ,5.30333 ,5.91000 ,6.16667 ,5.89333 ,5.30333 ,6.82333 ,6.19000 
4.41000 ,5.29000 ,5.93667 ,6.22333 ,5.90000 ,5.26667 ,6.90000 ,6.22667 
4.44000 ,5.31667 ,5.94667 ,6.20333 ,5.95333 ,5.23667 ,6.95000 ,6.22000 
4.47000 ,5.32667 ,5.95333 ,6.16667 ,5.85667 ,5.23000 ,6.98000 ,6.24000 
4.48333 ,5.35333 ,5.96667 ,6.12000 ,5.86333 ,5.22000 ,6.94333 ,6.23333 
4.49000 ,5.35667 ,5.96667 ,6.09000 ,5.81000 ,5.20000 ,6.89667 ,6.18000 
4.50000 ,5.31000 ,5.96667 ,6.00333 ,5.76667 ,5.22667 ,6.87000 ,6.08667 
4.43333 ,5.30333 ,5.85000 ,6.06333 ,5.70667 ,5.25667 ,6.87000 ,6.14333 
4.41667 ,5.28667 ,5.89333 ,6.06333 ,5.78333 ,5.27333 ,6.86000 ,6.16667 
4.42667 ,5.28000 ,5.96667 ,6.09000 ,5.77333 ,5.28667 ,6.87000 ,6.22667 
4.50000 ,5.37000 ,5.99667 ,6.12000 ,5.79667 ,5.21333 ,6.84000 ,6.14333 
4.52667 ,5.35667 ,5.94667 ,6.12667 ,5.84000 ,5.21333 ,6.91333 ,6.11000 
4.50667 ,5.37000 ,5.90667 ,6.11333 ,5.84667 ,5.16333 ,6.93667 ,6.08000 
4.49667 ,5.33333 ,5.89333 ,6.08333 ,5.85000 ,5.24333 ,6.93667 ,6.07000 
4.42333 ,5.31667 ,5.87333 ,5.98667 ,5.82000 ,5.28667 ,6.91333 ,6.04333 
4.44667 ,5.30333 ,5.83667 ,6.03000 ,5.73000 ,5.28667 ,6.85333 ,6.03333 
4.46333 ,5.27333 ,5.83667 ,6.09667 ,5.79667 ,5.26667 ,6.89000 ,6.04333 
4.47000 ,5.27333 ,5.86333 ,6.11333 ,5.87000 ,5.23000 ,6.97000 ,6.05667 
4.48333 ,5.30333 ,5.92333 ,6.09000 ,5.82000 ,5.21333 ,7.00333 ,6.08000 
4.52000 ,5.31667 ,5.91000 ,6.03000 ,5.83333 ,5.18333 ,6.98000 ,6.08000 
4.52000 ,5.32000 ,5.83333 ,5.99667 ,5.74667 ,5.16333 ,6.97333 ,6.08000 
4.52667 ,5.37000 ,5.91000 ,5.99333 ,5.76667 ,5.18333 ,6.90667 ,5.97667 
4.49000 ,5.34000 ,5.87000 ,5.97333 ,5.70000 ,5.21333 ,6.90667 ,5.97333 
4.49667 ,5.28000 ,5.79000 ,5.98667 ,5.70000 ,5.20667 ,6.85333 ,6.00667 
4.50000 ,5.21667 ,5.88667 ,5.97333 ,5.75333 ,5.23667 ,6.89000 ,6.09333 
4.56333 ,5.32000 ,5.94667 ,6.00333 ,5.73667 ,5.23667 ,6.92000 ,6.04333 
4.57333 ,5.38333 ,5.92333 ,6.02333 ,5.76000 ,5.21333 ,6.94333 ,6.00667 
4.46333 ,5.37000 ,5.87000 ,5.96000 ,5.73667 ,5.17667 ,6.97333 ,5.95333 
4.50667 ,5.33333 ,5.83667 ,6.01000 ,5.78333 ,5.17667 ,6.97333 ,5.91667 
