正常合闸,正常分闸,虚假合闸,分闸不彻底,储能弹簧卡涩,操作机构卡涩,合闸螺栓松动,分闸螺栓松动
-0.05645752,0.009460449,-0.046691895,-0.011291504,0.065612793,0.000915527,0.003356934,0.042419434
-0.057678223,0.009460449,-0.034484863,-0.010070801,0.104675293,0.000915527,0.003356934,0.042419434
-0.058898926,0.011901855,-0.018615723,-0.006408691,0.135192871,0.00213623,0.004577637,0.04119873
-0.058898926,0.011901855,-0.002746582,-0.000305176,0.144958496,0.000915527,0.003356934,0.042419434
-0.058898926,0.013122559,0.015563965,0.003356934,0.137634277,0.00213623,0.004577637,0.04119873
-0.051574707,0.016784668,0.033874512,0.00579834,0.114440918,0.00213623,0.004577637,0.04119873
-0.046691895,0.015563965,0.047302246,0.007019043,0.09979248,0.00213623,0.004577637,0.042419434
-0.038146973,0.008239746,0.050964355,0.007019043,0.096130371,0.003356934,0.004577637,0.042419434
-0.028381348,0.00579834,0.049743652,0.00579834,0.087585449,0.003356934,0.004577637,0.042419434
-0.019836426,0.003356934,0.052185059,0.004577637,0.086364746,0.004577637,0.004577637,0.042419434
-0.012512207,-0.002746582,0.061950684,0.00579834,0.108337402,0.004577637,0.004577637,0.042419434
0.000915527,-0.005187988,0.074157715,0.007019043,0.133972168,0.004577637,0.004577637,0.042419434
0.018005371,-0.006408691,0.075378418,0.007019043,0.148620605,0.00579834,0.004577637,0.042419434
0.030212402,-0.008850098,0.057067871,0.007019043,0.147399902,0.00579834,0.004577637,0.042419434
0.036315918,-0.012512207,0.036315918,0.008239746,0.143737793,0.007019043,0.004577637,0.042419434
0.039978027,-0.014953613,0.024108887,0.00579834,0.163269043,0.007019043,0.004577637,0.042419434
0.046081543,-0.016174316,0.022888184,0.004577637,0.198669434,0.007019043,0.004577637,0.042419434
0.049743652,-0.014953613,0.02532959,0.008239746,0.224304199,0.007019043,0.00579834,0.042419434
0.048522949,-0.012512207,0.026550293,0.010681152,0.241394043,0.00579834,0.004577637,0.043640137
0.042419434,-0.011291504,0.022888184,0.009460449,0.257263184,0.00579834,0.00579834,0.043640137
0.036315918,-0.011291504,0.02166748,0.007019043,0.27557373,0.004577637,0.004577637,0.043640137
0.028991699,-0.010070801,0.035095215,0.007019043,0.297546387,0.003356934,0.004577637,0.042419434
0.018005371,-0.010070801,0.057067871,0.007019043,0.321960449,0.00213623,0.004577637,0.043640137
0.00579834,-0.003967285,0.076599121,0.004577637,0.339050293,-0.000305176,0.004577637,0.043640137
-0.003967285,0.004577637,0.091247559,0.003356934,0.354919434,-0.001525879,0.004577637,0.042419434
-0.011291504,0.008239746,0.105895996,0.00579834,0.365905762,-0.002746582,0.004577637,0.043640137
-0.014953613,0.009460449,0.12298584,0.00579834,0.356140137,-0.003967285,0.004577637,0.043640137
-0.016174316,0.014343262,0.13885498,0.00579834,0.33416748,-0.005187988,0.004577637,0.042419434
-0.018615723,0.015563965,0.147399902,0.008239746,0.317077637,-0.007629395,0.004577637,0.043640137
-0.023498535,0.011901855,0.152282715,0.011901855,0.29876709,-0.008850098,0.004577637,0.043640137
-0.023498535,0.010681152,0.159606934,0.011901855,0.27923584,-0.008850098,0.004577637,0.043640137
-0.01739502,0.015563965,0.168151855,0.008239746,0.25604248,-0.008850098,0.003356934,0.043640137
-0.005187988,0.016784668,0.175476074,0.00579834,0.230407715,-0.010070801,0.003356934,0.043640137
0.008239746,0.013122559,0.180358887,0.004577637,0.205993652,-0.011291504,0.003356934,0.043640137
0.016784668,0.010681152,0.187683105,0.000915527,0.180358887,-0.011291504,0.003356934,0.043640137
0.02166748,0.010681152,0.187683105,-0.002746582,0.147399902,-0.010070801,0.003356934,0.043640137
0.030212402,0.007019043,0.176696777,-0.006408691,0.121765137,-0.010070801,0.003356934,0.043640137
0.043640137,-0.001525879,0.160827637,-0.010070801,0.137634277,-0.008850098,0.003356934,0.043640137
0.063171387,-0.006408691,0.154724121,-0.01373291,0.196228027,-0.008850098,0.003356934,0.043640137
0.087585449,-0.002746582,0.168151855,-0.014953613,0.113220215,-0.008850098,0.00213623,0.043640137
0.114440918,0.00213623,0.176696777,-0.014953613,-0.205383301,-0.008850098,0.003356934,0.04486084
0.135192871,-0.005187988,0.168151855,-0.016174316,-0.245666504,-0.008850098,0.003356934,0.043640137
0.146179199,-0.012512207,0.15838623,-0.016174316,0.221862793,-0.007629395,0.00213623,0.043640137
0.152282715,-0.014953613,0.149841309,-0.01373291,0.19744873,-0.008850098,0.003356934,0.043640137
0.159606934,-0.012512207,0.141296387,-0.011291504,-0.506896973,-0.008850098,0.003356934,0.04486084
0.171813965,-0.010070801,0.131530762,-0.007629395,-0.372619629,-0.010070801,0.003356934,0.04486084
0.182800293,-0.007629395,0.124206543,-0.001525879,0.346374512,-0.011291504,0.003356934,0.04486084
0.185241699,-0.005187988,0.116882324,-0.000305176,0.120544434,-0.011291504,0.003356934,0.04486084
0.176696777,0.000915527,0.113220215,-0.000305176,-0.478820801,-0.012512207,0.003356934,0.04486084
0.163269043,0.00213623,0.111999512,0.004577637,-0.517883301,-0.01373291,0.003356934,0.04486084
0.149841309,-0.000305176,0.115661621,0.008239746,-0.639953613,-0.014953613,0.003356934,0.04486084
0.13885498,0.003356934,0.130310059,0.009460449,-0.691223145,-0.016174316,0.00213623,0.04486084
